날짜,hs_code,품목명,국가명,수출입구분,수출금액,중량
2021-01-01,8561,반도체,미국,Export,475850010,3686.770315
2021-02-01,8592,반도체,미국,Export,58987708,2350.319571
2021-03-01,8512,반도체,미국,Export,20086402,4852.558276
2021-04-01,8573,반도체,미국,Export,496183664,3125.659397
2021-05-01,8598,반도체,미국,Export,152702278,3098.079184
2021-06-01,8589,반도체,미국,Export,124057956,543.9715292
2021-07-01,8573,반도체,미국,Export,238713817,4313.707993
2021-08-01,8527,반도체,미국,Export,474953913,4831.596962
2021-09-01,8562,반도체,미국,Export,123137974,1281.024784
2021-10-01,8517,반도체,미국,Import,0,4555.66997
2021-11-01,8511,반도체,미국,Export,218326378,1118.914148
2021-12-01,8527,반도체,미국,Export,389815083,4703.544814
2022-01-01,8557,반도체,미국,Import,0,2895.175475
2022-02-01,8594,반도체,미국,Export,200451871,1429.610256
2022-03-01,8569,반도체,미국,Export,275921080,790.5287024
2022-04-01,8580,반도체,미국,Export,217466725,2034.919439
2022-05-01,8590,반도체,미국,Import,0,3971.860149
2022-06-01,8550,반도체,미국,Export,458330241,4265.189031
2022-07-01,8532,반도체,미국,Export,337732213,3363.019547
2022-08-01,8544,반도체,미국,Import,0,686.0118051
2022-09-01,8523,반도체,미국,Export,251959842,2661.390864
2022-10-01,8586,반도체,미국,Export,108842409,4489.241619
2022-11-01,8513,반도체,미국,Import,0,1321.531923
2022-12-01,8545,반도체,미국,Import,0,3034.440786
2023-01-01,8551,반도체,미국,Import,0,3203.678407
2023-02-01,8553,반도체,미국,Export,214089874,4428.073269
2023-03-01,8598,반도체,미국,Export,165821702,639.2544302
2023-04-01,8586,반도체,미국,Export,431757985,134.0654396
2023-05-01,8546,반도체,미국,Export,349293656,1420.120436
2023-06-01,8541,반도체,미국,Import,0,3544.792899
2023-07-01,8561,반도체,미국,Export,130969270,3511.890937
2023-08-01,8565,반도체,미국,Export,28074604,3086.865237
2023-09-01,8510,반도체,미국,Import,0,809.9848732
2023-10-01,8541,반도체,미국,Export,300421394,496.181299
2023-11-01,8547,반도체,미국,Export,190213735,3198.29857
2023-12-01,8525,반도체,미국,Export,419298222,1671.822318
2024-01-01,8529,반도체,미국,Import,0,1179.181133
